id,code,name
438,10411,"['POP', '广告设计', 'POP广告设计']"
439,10412,"['计算机辅助', '设计', 'Photoshop', '计算机辅助设计(Photoshop)']"
440,01422,"['标志', '设计', '标志设计（一）']"
441,01423,"['版式', '设计', '版式设计（一）']"
442,03815,"['制图', '基础', '制图基础']"
443,10413,"['标识', '设计', '标识设计']"
444,10414,"['计算机辅助', '设计', 'Autocad', '计算机辅助设计（Autocad）']"
445,10415,"['装饰', '材料', '装饰材料']"
446,10416,"['照明设计', '基础', '照明设计基础']"
447,10417,"['艺术设计', '毕业', '实习', '艺术设计毕业实习']"
448,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
449,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
450,02126,"['应用文', '写作', '应用文写作']"
451,03902,"['服装', '发展', '简史', '服装发展简史']"
452,00677,"['服装', '材料', '服装材料']"
453,03903,"['服装', '技法', '服装画技法']"
454,00683,"['服装市场', '营销', '服装市场与营销']"
455,03904,"['服装', '生产', '管理', '服装生产管理']"
456,03905,"['服装', '企业', '督导', '管理', '服装企业督导管理']"
457,05409,"['成衣', '制作', '工艺', '成衣制作工艺']"
458,05401,"['服装', '纸样', '原理', '服装纸样原理']"
459,05334,"['服装设计', '服装设计']"
460,03906,"['服装', '品质', '管理', '服装品质管理']"
461,05427,"['设计', '实习', '设计实习']"
462,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
463,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
464,08878,"['动漫', '产业', '概论', '动漫产业概论']"
465,08879,"['动漫', '美术', '基础', '人物', '线描', '动漫美术基础(一)（人物线描）']"
